title,description,link,image
"Ex-prefeito de Ribeirão Preto, SP, Duarte Nogueira se filia ao PSD","Político deixou PSDB na segunda-feira (23), após 26 anos. Oficialização da filiação à nova legenda aconteceu nesta sexta-feira (27), em São Paulo, SP.",https://g1.globo.com/sp/ribeirao-preto-franca/noticia/2025/06/27/ex-prefeito-de-ribeirao-preto-sp-duarte-nogueira-se-filia-ao-psd.ghtml,https://s2-g1.glbimg.com/Pdcn6xM0eRRMKKS5mjVJZLHYlgY=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/G/M/8eAzzbQqyF1wUqa7JDwA/foto.png
Prestador de serviços é suspeito de furtar quase R$ 30 mil em café por vício em apostas esportivas e jogo do tigrinho,"De acordo com a Polícia Civil, cerca de 350 kg de café prontos para serem comercializados foram furtados. A Polícia Civil segue investigando o caso.",https://g1.globo.com/go/goias/noticia/2025/06/27/prestador-de-servicos-e-suspeito-de-furtar-quase-r-30-mil-em-cafe-por-vicio-em-apostas-esportivas-e-jogos-on-line.ghtml,https://s2-g1.glbimg.com/0eIoKa3_aGYE6tkGDtK7Ew7X3JA=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/j/Q/aQB3EoRaiAYYgPBhVnQA/design-sem-nome-63-.png
VÍDEO: cão é resgatado pela polícia após flagrante de maus-tratos em Itapetininga,"Setor de Proteção Animal da Polícia Civil resgatou o pastor alemão na manhã desta sexta-feira (27), após a denúncia do crime ambiental. O cão foi levado a abrigo temporário e ficará à disposição para adoção.",https://g1.globo.com/sp/itapetininga-regiao/noticia/2025/06/27/video-cao-e-resgatado-pela-policia-apos-flagrante-de-maus-tratos-em-itapetininga.ghtml,https://s2-g1.glbimg.com/b9W_IcTCXONx_KTBX-44WALuF_o=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/H/w/iXZhwGTKSGfdQmv4rNLw/regin-2025-06-27t114602.419.png
"Detento faz ameaças a juíza e promotor durante audiência de custódia em Lavras, MG","Sullivan Luiz Carlos, que está preso, afirmou estar disposto a “matar e morrer pelo crime” e disse que tem contatos nas ruas que poderiam executar os seus planos.",https://g1.globo.com/mg/sul-de-minas/noticia/2025/06/27/detento-faz-ameacas-a-juiza-e-promotor-durante-audiencia-de-custodia-em-lavras-mg.ghtml,https://s2-g1.glbimg.com/KBK60LIcHve6Ijf4O4RN7whO_UE=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/z/S/lwQUuvSAaqvz0iGuRwpg/lavras.png
"Quer aprender inglês? Curso gratuito está com vagas abertas em Santos, SP; veja como se inscrever",São 60 vagas destinadas a moradores com pouco ou nenhum conhecimento do idioma.,https://g1.globo.com/sp/santos-regiao/educacao/noticia/2025/06/27/quer-aprender-ingles-santos-sp-oferece-curso-gratuito-com-60-vagas-veja-como-se-inscrever.ghtml,https://s2-g1.glbimg.com/eyAnnNDCmRYTRQlOk79NszX6Vwg=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/7/C/9BfSP0TkKLVVbPb8BiAA/darcy-ribeiro.jpg
Oficinas infantis gratuitas são destaques do Pátio Limeira Shopping,Pintura em 3D e Lego Education são sucesso entre a garotada,https://g1.globo.com/sp/piracicaba-regiao/especial-publicitario/patio-limeira-shopping/noticia/2025/06/27/oficinas-infantis-gratuitas-sao-destaques-do-patio-limeira-shopping.ghtml,https://s2-g1.glbimg.com/boddP97FvnnWymrzzKHCH0uXtho=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/d/m/M1iRiTR0Or0UuKck1M3A/informe-g1-2025-06-27t135521.321.png
Grupo de brasileiros espera há três dias para deixar Indonésia após cancelamento de voo que passaria pelo Catar,"Turistas tinham passagens pela empresa Qatar Airways, que chegou a cancelar todos os voos após o fechamento do espaço aéreo no Catar, em decorrência dos ataques iranianos a bases norte-americanas no país.",https://g1.globo.com/rs/rio-grande-do-sul/noticia/2025/06/27/grupo-de-brasileiros-espera-ha-tres-dias-para-deixar-indonesia-apos-cancelamento-de-voo-que-passaria-pelo-catar.ghtml,https://s2-g1.glbimg.com/SnbSBpn379e_6PTxZRdFyrW6sr8=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/n/p/4MkvsfSBKrFdDFg0xrow/whatsapp-image-2025-06-27-at-10.54.00-1-.jpeg
"RN registra menor taxa de fecundidade do Nordeste, aponta IBGE","Além do número de filhos por mulher ter caído, estado também registrou aumento na idade média para ter filhos: aos 28,4 anos.",https://g1.globo.com/rn/rio-grande-do-norte/noticia/2025/06/27/rn-taxa-de-fecundidade-ibge.ghtml,https://s2-g1.glbimg.com/SiieXI-JtKpHdzBbWPWVsZRUx2E=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/d/n/ThrRBqRCGAyraa2imLsA/mulher-gravida-em-pe-perto-da-janela-olhando-para-uma-foto.jpg
Residência Sebraelab: conecte sua startup a capacitações e mentorias inovadoras,"Criado com o objetivo de conectar empreendedores a oportunidades estratégicas, o Sebraelab funciona como um verdadeiro laboratório de inovação.",https://g1.globo.com/ce/ceara/especial-publicitario/sebrae-ceara/inovacao-e-negocios/noticia/2025/06/27/residencia-sebraelab-conecte-sua-startup-a-capacitacoes-e-mentorias-inovadoras.ghtml,https://s2-g1.glbimg.com/EhH58-j0pb-qhDctq23H0fDQh3E=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/w/v/Eqzm0URAKtbAlAAXeRZg/sebraelab.png
Pai ri de ameaça e é morto a facadas pelo filho dentro de casa em MS,"O crime ocorreu na noite desta quinta-feira (26), em Campo Grande. De acordo com o boletim de ocorrência, pai e filho teriam se desentendido momentos antes do crime.",https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2025/06/27/pai-ri-de-ameaca-e-e-morto-a-facadas-pelo-filho-dentro-de-casa-em-ms.ghtml,https://s2-g1.glbimg.com/zCvBHDsaF7B_CtLhoCazg5OD7pI=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/m/L/aaEsjtTPSj5zYKufh2Aw/depac.jpg
Escombros de casarão caem em cima de casa em Salvador durante demolição,"Imóvel, localizado no bairro do Santo Antônio Além do Carmo, começou a ser demolido na quinta-feira (26), após parte dele desabar no último domingo (22).",https://g1.globo.com/ba/bahia/noticia/2025/06/27/escombros-de-casarao-caem-em-cima-de-casa-em-salvador.ghtml,https://s2-g1.glbimg.com/6V16PZQqm6UD2ulZrDvZ3_i4en8=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/F/L/WE3MBXQ6SEVigisGfALA/desabamento-casarao-santo-antonio-alem-do-carmo.jpg
"Celebrações da Independência do Brasil na Bahia têm shows, desfile de fanfarras e espetáculos de danças; confira programação",Eventos comemorativos em Salvador começam no sábado (28) e seguem até 13 de julho.,https://g1.globo.com/ba/bahia/noticia/2025/06/27/celebracoes-da-independencia-do-brasil-na-bahia-2025.ghtml,https://s2-g1.glbimg.com/iHP45Vt8ngqZUg42-hRgWfPK1rI=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2024/R/O/q7tBrzQEqweCugK0XQWg/2.jpeg
Mulher fica ferida ao ser esfaqueada em Rio Preto; ex-namorado é preso,"Suspeito já havia descumprido medida protetiva e tentou apagar vestígios do ataque na casa da vítima, no bairro Solo Sagrado.",https://g1.globo.com/sp/sao-jose-do-rio-preto-aracatuba/noticia/2025/06/27/mulher-fica-ferida-ao-ser-esfaqueada-em-rio-preto-ex-namorado-e-preso.ghtml,https://s2-g1.glbimg.com/tB8QM_FHqc_vtiTbfAQlqb3h8HU=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/C/k/4jmsjfSX63bcWClrzjDg/whatsapp-image-2025-06-27-at-16.00.00-1-.jpeg
VÍDEO: Bombeiros quebram calçada e resgatam filhotes de cachorro jogados em fossa de MS,"Apesar do abandono, animais não ficaram feridos. Homem foi multado em R$ 4 mil por maus-tratos.",https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2025/06/27/video-bombeiros-quebram-calcada-e-resgatam-filhotes-de-cachorro-jogados-em-fossa-de-ms.ghtml,https://s2-g1.glbimg.com/fat7Ys7j7ic9jrqfp5y7eUfYwUI=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/4/J/JXlmsxTQWBNnqrzCWd2A/filhotes.png
Faap recebe mostra de cinema indígena com a exibição de 11 filmes com direção de cineastas originários,"O evento é gratuito, mas os ingressos precisam ser retirados com antecedência. Programação vai ser no dia 13 de julho.",https://g1.globo.com/guia/guia-sp/noticia/2025/06/27/faap-recebe-mostra-de-cinema-indigena-com-a-exibicao-de-11-filmes-com-direcao-de-cineastas-originarios.ghtml,https://s2-g1.glbimg.com/2oikLARLONg7uLWzDaM3NPwqD_w=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/i/Y/vtcGdRQkmLi4vvsIDR9A/rami-rami-kirani.png
Cinco pessoas são presas suspeitas de homicídios e tráfico de drogas no Litoral Norte da Paraíba,"De acordo com a Polícia Civil, os cinco suspeitos respondem por homicídios e tráfico de drogas.",https://g1.globo.com/pb/paraiba/noticia/2025/06/27/cinco-pessoas-sao-presas-suspeitas-de-homicidios-e-trafico-de-drogas-no-litoral-norte-da-paraiba.ghtml,https://s2-g1.glbimg.com/882TzJTdN6duv0Axjl4l6wgk5t4=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/5/z/oHjEhdQhABYBrn9yfl8Q/whatsapp-image-2025-06-27-at-09.50.59-1-.jpeg
"Justiça de Americana condena grupo que usava empresas, carros de luxo e imóveis para 'criar imagem de sucesso' e fazer vítimas","De acordo com o MP, organização causou prejuízo de ao menos R$ 22 milhões. Penas dos principais envolvidos chegam a 80 anos de prisão.",https://g1.globo.com/sp/campinas-regiao/noticia/2025/06/27/justica-de-americana-condena-grupo-que-usava-empresas-carros-de-luxo-e-imoveis-para-criar-imagem-de-sucesso-e-fazer-vitimas.ghtml,https://s2-g1.glbimg.com/A_4x4DOZ4CDkd6nDWzrd5tYNfnQ=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2018/b/V/VLu6B6TQKi6qBVfr7WzA/foto-mp.jpeg
Idoso perde R$ 27 mil em golpe do bilhete premiado em Marília,"Criminosos convenceram a vítima, de 82 anos, a entregar dinheiro, cartão, senha e até impressão digital. Caso foi registrado como estelionato com agravante por envolver pessoa idosa.",https://g1.globo.com/sp/bauru-marilia/noticia/2025/06/27/idoso-perde-r-27-mil-em-golpe-do-bilhete-premiado-em-marilia.ghtml,https://s2-g1.glbimg.com/f6UUb9AGl9mTWb5ZBH0rNJLiORc=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2023/m/d/BmMByQTO6eQ0jQ0xbArA/bilhete-.png
Hospital de campanha flutuante leva atendimento a comunidades isoladas no Pará,"A Força Aérea Brasileira faz, até domingo, uma grande ação de saúde na Amazônia, com atendimento para a população ribeirinha.",https://g1.globo.com/jornal-hoje/video/hospital-de-campanha-flutuante-leva-atendimento-a-comunidades-isoladas-no-para-13714779.ghtml,https://s2-g1.glbimg.com/gDDMxZ5ikyQhOlxemWrSrr7Ux9w=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/79/47/13714779
Jovem de 22 anos morre após bater moto contra cavalo em estrada no interior do Acre,"Criança que estava montada em cavalo ficou gravemente ferida, mas está estável. Acidente ocorreu na noite desta quinta-feira (26) na Estrada da Variante, em Cruzeiro do Sul.",https://g1.globo.com/ac/acre/noticia/2025/06/27/jovem-morre-apos-bater-moto-contra-cavalo-em-estrada-no-interior-do-acre.ghtml,https://s2-g1.glbimg.com/JeXfSjNp8Xq-L9E3CsrqI9RcbDA=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/85/42/13714285
"Mulher mantida em cárcere que fingiu desmaio para pedir socorro foi atendida por médica, que chamou polícia após ouvir a vítima","Ação da profissional levou à prisão em flagrante do suspeito, Anderson Elmatos, ainda no hospital. Defesa dele alega que 'realidade dos fatos é totalmente diversa da narrativa trazida pela suposta vítima'.",https://g1.globo.com/pr/campos-gerais-sul/noticia/2025/06/27/mulher-mantida-em-carcere-que-fingiu-desmaio-para-pedir-socorro-foi-atendida-por-medica-que-chamou-policia-apos-ouvir-a-vitima.ghtml,https://s2-g1.glbimg.com/i1y1YYf-Bko_mNFDmoCgMF_CDAc=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/d/A/S6aKOuTA2ohcPhgiFuSA/g1.png
É #FAKE que Nikolas Ferreira votou a favor de aumento na conta de luz,Resultado nominal de votações no Congresso mostra que deputado foi favorável à manutenção de vetos impediriam aumento do custo da energia elétrica.,https://g1.globo.com/fato-ou-fake/noticia/2025/06/27/e-fake-que-nikolas-ferreira-votou-a-favor-de-aumento-na-conta-de-luz.ghtml,https://s2-g1.glbimg.com/2LBzBt3Zw6DX55_brCQ0F6cLIJ0=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2023/F/v/LmZFgORQ2hAvueZfj5Rw/globo-canal-4-20230921-1959-frame-121014.jpeg
"Ana Paula Santos, da quadrilha São João das Palmas, é eleita Rainha do Arraiá da Capital",Concurso na segunda noite de festa elegeu rainha e princesas da competição. Programação segue com a banda Moleca Sapeca nesta sexta-feira (27).,https://g1.globo.com/to/tocantins/noticia/2025/06/27/ana-paula-santos-da-quadrilha-sao-joao-das-palmas-e-eleita-rainha-do-arraia-da-capital.ghtml,https://s2-g1.glbimg.com/d2cqJApBGhAkdUNP9sIPm9Soreg=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/48/10/13711048
"VÍDEOS: NE1 de sexta-feira, 27 de junho de 2025",Assista aos vídeos do telejornal com as notícias de Pernambuco.,https://g1.globo.com/pe/pernambuco/videos-ne1/playlist/videos-ne1-de-sexta-feira-27-de-junho-de-2025.ghtml,https://s2-g1.glbimg.com/kHY14CyaJnAytpUzN4YtWbH1tcA=/540x304/top/smart/http://s2.glbimg.com/w52MeRjKGF9dDXQTxCuR6HYUPyY=/filters:max_age(3600)/s04.video.glbimg.com/deo/vi/91/45/13714591
Homem é preso na Bahia suspeito de matar jovem após discussão em cavalgada,"Crime ocorreu em 24 de novembro de 2024, na zona rural de Feira de Santana. Vítima foi identificada como Átila Avelino da Cruz, de 29 anos.",https://g1.globo.com/ba/feira-de-santana-regiao/noticia/2025/06/27/suspeito-de-matar-jovem-e-preso-em-feira-de-santana.ghtml,https://s2-g1.glbimg.com/3Ee4NFIglkEj8TYx3RJQj1FSLt8=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/J/8/LqZfKXScGyvT3MHPsfXg/tamanho-g1ba-2025-06-27t120450.539.png
Curso gratuito de formação em beleza e empreendedorismo tem inscrições abertas em Natal,Inscrições podem ser feitas pela internet até 29 de junho. Programa ‘Empreendedoras da Beleza' pretende capacitar 200 mil mulheres em situação de vulnerabilidade social em todo o Brasil.,https://g1.globo.com/rn/rio-grande-do-norte/noticia/2025/06/27/curso-gratuito-de-formacao-em-beleza-e-empreendedorismo-tem-inscricoes-abertas-em-natal.ghtml,https://s2-g1.glbimg.com/AtMlI1YZx0iIrDlSIiwZrkR1f9o=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2017/M/6/S5zAj9TiGnsvfEBslFHw/maquiagem.png
Uruguaiana decreta situação de emergência por causa das enchentes,9.058 pessoas estão fora de suas casas no Rio Grande do Sul.,https://g1.globo.com/jornal-hoje/video/uruguaiana-decreta-situacao-de-emergencia-por-causa-das-enchentes-13714788.ghtml,https://s2-g1.glbimg.com/UFuwOC2tD1r7Mv5RQ2MmwesPyLk=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/88/47/13714788
"Feira gratuita reúne peças artesanais de tricô, itens de inverno e enxoval em Tatuí","Evento ocorre no Centro Cultural, nesta sexta (27) e segunda-feira (30), das 9h às 19h, e é promovido pelo grupo “Amigas Tricoteiras de Tatuí”, com apoio da prefeitura.",https://g1.globo.com/sp/itapetininga-regiao/noticia/2025/06/27/feira-gratuita-reune-pecas-artesanais-de-trico-itens-de-inverno-e-enxoval-em-tatui.ghtml,https://s2-g1.glbimg.com/lv9GvHqSsvLWPoaowKu92DBa12s=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/S/P/TfCHOeSp6ieT47qyR1tQ/trico-tatui.png
Mulher fica ferida ao ser esfaqueada em Rio Preto; ex-namorado é preso,"Suspeito já havia descumprido medida protetiva e tentou apagar vestígios do ataque na casa da vítima, no bairro Solo Sagrado.",https://g1.globo.com/sp/sao-jose-do-rio-preto-aracatuba/noticia/2025/06/27/mulher-fica-ferida-ao-ser-esfaqueada-em-rio-preto-ex-namorado-e-preso.ghtml,https://s2-g1.glbimg.com/tB8QM_FHqc_vtiTbfAQlqb3h8HU=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/C/k/4jmsjfSX63bcWClrzjDg/whatsapp-image-2025-06-27-at-16.00.00-1-.jpeg
VÍDEO: Bombeiros quebram calçada e resgatam filhotes de cachorro jogados em fossa de MS,"Apesar do abandono, animais não ficaram feridos. Homem foi multado em R$ 4 mil por maus-tratos.",https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2025/06/27/video-bombeiros-quebram-calcada-e-resgatam-filhotes-de-cachorro-jogados-em-fossa-de-ms.ghtml,https://s2-g1.glbimg.com/fat7Ys7j7ic9jrqfp5y7eUfYwUI=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/4/J/JXlmsxTQWBNnqrzCWd2A/filhotes.png
